signature,sequence,value,length
(((5-2)*3)+6)*4,"4,6,3,5,2,-,*,+,*",60,5
4-(2-((3+5)*6)),"4,2,6,5,3,+,*,-,-",50,5
(2-(5-(3*6)))*4,"4,2,5,3,6,*,-,-,*",60,5
(((3*6)+5)*2)+4,"4,2,5,3,6,*,+,*,+",50,5
(6-(4/2))*3*5,"3,5,6,4,2,/,-,*,*",60,5
(6-(4-2))*3*5,"3,5,6,4,2,-,-,*,*",60,5
((2-4)+6)*3*5,"3,5,6,2,4,-,+,*,*",60,5
((6-4)+2)*3*5,"3,5,2,6,4,-,+,*,*",60,5
(2-(4-6))*3*5,"3,5,2,4,6,-,-,*,*",60,5
((2*5)+4+6)*3,"3,4,6,5,2,*,+,+,*",60,5
(5/(4-3))*2*6,"2,6,5,4,3,-,/,*,*",60,5
(6/(4-3))*2*5,"2,5,6,4,3,-,/,*,*",60,5
(4-3)*2*5*6,"2,5,6,4,3,-,*,*,*",60,5
(6-(4-3))*2*5,"2,5,6,4,3,-,-,*,*",50,5
((3-4)+6)*2*5,"2,5,6,3,4,-,+,*,*",50,5
((6-4)+3)*2*5,"2,5,3,6,4,-,+,*,*",50,5
(3-(4-6))*2*5,"2,5,3,4,6,-,-,*,*",50,5
((6/3)+4)*2*5,"2,5,4,6,3,/,+,*,*",60,5
2-((3-5)*4*6),"2,4,6,3,5,-,*,*,-",50,5
((3*5)+4+6)*2,"2,4,6,5,3,*,+,+,*",50,5
((5-3)*4*6)+2,"2,4,6,5,3,-,*,*,+",50,5
(6-4)*2*3*5,"2,3,5,6,4,-,*,*,*",60,5
